,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4
0,sleet,hail,snow,rain,shift,mom,option,racecar,jazz,heat,nets,kayak,level,return,bucks,tab
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,us,why,are,people,queue,foot,essence
2,mouth,pit,cheek,stooge,scarf,gobble,nose,lab,wolf,pom,tenor,amigo,king,peke,chow,eye
3,puma,adidas,nike,cats,sweep,dust,vacuum,mop,carousel,cabaret,super,chicago,spider,bat,reebok,iron
4,peacock,plum,scarlet,blue,glum,low,down,green,hulu,netflix,prime,ketchup,relish,mayo,tartar,mustard
5,go,boardwalk,royal,midnight,ice cube,powder,q-tip,sin,sister,jail,chance,future,baby,common,sea,wonder
6,shin,john,ankle,silver,joey,cub,thigh,can,kid,throne,star,knee,cray,jelly,head,calf
7,chess,queen,king,checkers,ruby,go,cherry,twin,locksmith,stop sign,piano,cryptography,backgammon,florida,fire truck,full
8,polo,tank,halter,tee,corn,squash,beet,onion,cricket,fencing,ant,beetle,mantis,termite,carrot,cami
9,lemon,orange,kiwi,grapefruit,jordan,georgia,turkey,chad,scales,fish,goat,jay,togo,swallow,twins,crane
10,coriander,cardamom,cumin,sugar,bird,airplane,sweetie,pegasus,posh,honey,baby,ginger,scary,angel,boo,coriander
11,pod,flock,school,pack,snail,loris,sloth,cot,sin,lust,pride,envy,greed,tan,sec,tortoise
12,united,new,frontier,gnocchi,delta,chi,iota,gnu,virgin,gnat,gnome,nu,spirit,knew,gnaw,beta
13,murphy,bunk,mario,pilot,warner,marx,jonas,sonic,passport,trundle,accord,civic,crash,canopy,link,wright
14,cluck,caw,tweet,chirp,rod,silver,turquoise,pink,lure,tackle,sparrow,jones,hook,reel,brown,caw
15,espresso,kelly,americano,latte,pecan,cashew,walnut,olive,fox,emerald,bean,clean,almond,peanut,forest,olive
16,scarf,ascot,tie,love,starboard,port,stern,tide,bolo,acute,bermuda,era,all,right,bow,port
17,quad,howser,lat,brown,ribbon,medal,trophy,grey,commander,pec,bear,bill,house,cup,tri,quinn
18,ivory,poultry,cream,spat,mirror,garlic,vanilla,eggshell,beef,stake,venison,row,quarrel,pork,crucifix,tiff
19,rye,howard,barley,lee,king,earl,spelt,brown,prince,rice,stone,oat,bong,ford,duke,baron
20,punk,jo,jazz,kim,opera,edge,rap,amy,safari,meg,wayne,pop,baby,jon,beth,chrome
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,trunk,beak,detour,barrier,slow,asleep
22,byrd,vogue,beach boy,monkee,sausage,mashed potato,macarena,fortune,twist,wired,website,beatle,chain,golf course,rolling stone,dougie
23,heath,switch,wii,u,hammer,anvil,crunch,blink,bounty,sum,genesis,maroon,milky way,cochlea,dreamcast,stirrup
24,mousse,cheesecake,fudge,tiramisu,pencil,heck,shoot,darn,narwhal,elephant,warthog,hippo,walrus,horseshoe,handlebar,flan
25,poland,denmark,portugal,holland,petty,mimic,echo,parrot,mild,cruise,waits,mix,dill,livid,copy,greece
26,fedora,page,beret,pot,liver,kidney,lung,spine,rabbit,bowler,ass,knife,jacket,cover,heart,page
27,grumpy,tiff,bashful,emu,mango,pineapple,banana,coconut,pdf,doc,zip,kiwi,happy,penguin,ostrich,grumpy
28,moth,skate,fly,wasp,copy,multiply,divide,subtract,tang,sole,lap,alley,cool,tetra,add,gnat
29,packer,shoulder,elbow,hip,bronco,oklahoma,raven,cowboy,shell,spiral,wrist,knee,them,mother,bowtie,airplane
30,pepper,phone,mobile,mac,cucumber,tomato,eggplant,lima,pyramid,cube,sphere,pod,polish,job,pad,cone
31,sole,heel,duckie,lace,ryan,sorry,risk,trouble,tongue,bond,smart,soul,cement,hunt,clue,band
32,tug,ferry,yacht,sub,round,cuban,flank,shank,rob,chuck,josh,sue,melt,loin,junk,club
33,fragrance,aroma,scent,funk,scissors,paper,jack,boar,bull,buck,rock,blues,country,soul,shoot,bouquet
34,penny,dime,quarter,nickel,moon,neck,rainbow,horseshoe,tin,lead,zinc,iron,clover,so,again,half
35,wallaby,kangaroo,mole rat,koala,paper,crunch,stacks,dough,mars,mounds,truth,eye,gun,cheddar,chunky,return
36,otter,dolphin,seal,hawk,peddle,saddle,chain,spoke,malt,vend,tong,chin,cub,move,brake,manatee
37,maple,ash,pine,cedar,plain,plateau,mountain,valley,poppy,sesame,elm,onion,jump,fear,hill,everything
38,sundial,newton,clock,watch,pixie,crop,shag,bob,hertz,second,hourglass,pepper,no,evil,j,mole
39,flute,bassoon,oboe,clarinet,wayfarer,hooded,aviator,monk,lid,cover,top,wraparound,harp,harbor,cat eye,cap
40,fiji,malta,cuba,palau,dasani,sam,joe,tony,java,voss,evian,pop,mud,lucky,brew,japan
41,snorkel,fins,mask,jungle,race,sprint,dash,fat,house,tank,bolt,period,comma,colon,doja,snorkel
42,irate,furious,livid,incensed,pelican,canary,booby,gull,hardy,school bus,beach,beastie,sunflower,banana,lost,puffin
43,plasma,gas,liquid,tesla,shellac,paste,cut,crush,stale,undo,trash,least,solid,slate,rout,copy
44,plane,boat,train,subway,sonic,sabbath,thunder,day,magic,checkers,stripes,king,floyd,outback,car,sun
45,philadelphia,chicago,manhattan,rio,squall,blizzard,w,tornado,glamour,elle,allure,cosmopolitan,screwdriver,munich,hurricane,cyclone
46,grassland,tree,desert,go,iguana,gecko,cobra,monitor,warrior,nae,forest,can,cha,lotus,chameleon,grassland
47,linen,rib,corduroy,denim,scar,specter,phantom,spirit,needle,tease,stitch,poke,,,,
48,mother,aunt,cousin,nephew,donald,quirky,kooky,wacky,cuckoo,dewey,scrooge,daffy,biological,alarm,dewey,daisy
49,mile,foot,yard,inch,samosa,falafel,schnitzel,katsu,pen,tempera,oil,watercolor,dim,nick,quart,acrylic
50,grinder,hero,scott,blade,near dark,tinder,twilight,west,match,hinge,sub,bumble,ant,hoagie,lost boys,driver
51,mouse,keyboard,rat,hamster,organ,speaker,harp,monitor,grouse,vole,carp,gerbil,horn,moan,gripe,triangle
52,pride,colony,family,high,blazed,swarm,herd,order,bio,lit,stats,class,domain,chem,baked,gov
53,shrine,altar,temple,abbey,rocky,sylvester,calvin,tom,garfield,harry,chester,felix,reliquary,silk,high,return
54,top,puck,blocks,hockey,memory,giggle,eggnog,yo-yo,duncan,leggings,viola,selfie,doll,fish,juliet,baggage
55,frogger,swipe,asteroids,pac,swing,salsa,pong,pinch,tango,tap,savage,breakout,cent,chainz,spread,hustle
56,romance,lie,horror,kiss,plaid,paisley,western,fib,tale,whopper,musical,dot,goober,fiction,houndstooth,stripes
57,spider,mite,tick,black widow,flash,jackass,shark,storm,perch,eel,catfish,cribs,blade,char,state,scorpion
58,several,few,pair,some,moon,comet,globe,planet,sun,plumb,handful,lyme,,,,
59,saw,field,charm,ring,please,scream,pendant,delight,purge,brooch,anklet,bangle,field,diamond,court,rink
60,hawking,einstein,oppenheimer,feynman,crikey,barbie,gift,mate,selling,flair,bush,faculty,west,match,moot,return
61,me,pi,co,na,la,fa,pa,mu,ti,xi,ni,ma,fe,he,nu,do
62,snap,plank,buckle,zip,obvious,nothing,nada,curl,squat,press,planet,button,crunch,kangaroo,lunge,jack
63,rover,fly,fido,chum,shirt,observe,notice,see,bait,sinker,storm,lucky,bone,rex,catch,spot
64,plasma,fire,gas,steam,tree,air,vigor,water,wedding,circus,earth,saturn,,,,
65,millennium,century,decade,year,pancake,omelet,bacon,waffle,whistler,rose,juror,close,munch,egg,cereal,month
66,pie,cake,tart,cobbler,miller,mason,smith,fisher,one,distort,twist,root,fudge,meal,doctor,dance
67,pint,cup,quart,gallon,sterling,pound,rand,real,super,quite,very,awful,carrot,coffee,sponge,won
68,mate,slide,bud,mary jane,skillet,pot,clog,wok,wedge,weed,grass,herb,chum,pump,crock,mate
69,sleeping bag,tent,camper,cooler,meal,wee,jab,diss,small,medium,hour,slight,,,,
70,nevada,arizona,utah,colorado,rush,soprano,sprite,squirt,mug,hawk,stark,crush,genesis,kansas,yes,montana
71,singer,actor,stand-up,dancer,heart,cupid,vixen,rose,santa,dasher,boys,lieutenant,card,taste,chocolate,comet
72,mustache,beard,stubble,goatee,tail,pedal,handlebar,wheel,shadow,dog,track,doubt,vote,movie,follow,gear
73,mastodon,outfit,duds,flops,misses,trilobite,turkeys,threads,smack,peck,getup,busts,dodo,smooch,mammoth,x
74,party,bash,shindig,blowout,whale,island,range,woodcarver,mixer,cricket,sink,counter,bunny,egg,puppet,sunday
75,taboo,nike,risk,killer,opinion,national,trouble,atlas,style,paris,notorious,sorry,foxy,gucci,hermes,business
76,tender,snare,breast,swimming,hole,eagle,wing,cymbal,stroke,tom,ticker,drumstick,infant,pub,kick,driver
77,heaven,bliss,paradise,cloud nine,shake,hustle,fast one,high five,racket,wave,bucket,guest,return,wish,hug,con
78,run,onyx,lynx,raven,book,cyber,ibex,ash,split,ebony,oryx,black,fat,bounce,jet,fox
79,slide,swing,seesaw,papyrus,eye,ankh,weight,times,sandbox,pull,sway,courier,papyrus,scarab,impact,clout
80,popper,nick,wing,chip,fry,flap,right,correct,yes,scratch,lumber,nacho,apple,cracker,ding,bingo
81,tumbler,goblet,coffee,olds,oboe,flute,saxophone,bishop,stein,pound,fricassee,snifter,balloon,frost,clarinet,bassoon
82,nude,bare,unclad,naked,sack,muffin,danish,bun,file,fumble,turnover,punt,clip,polish,buff,snap
83,hen,cow,mare,ewe,m,yew,they,it,d,we,u,l,i,you,doe,v
84,easel,brush,park,canvas,saw,comb,lawn,folding,high,neutral,reverse,first,palette,zipper,gear,drive
85,graph,chart,map,diagram,stuffing,icing,extra,gravy,montero,perk,turkey,satisfaction,istanbul,pie,bonus,i ran
86,ogre,gnome,troll,goblin,plant,petal,leaf,stalk,rabbit,agent,spy,horse,tiger,dragon,mole,bud
87,rocky,sally,max,roger,horror,rabbit,show,harry,who,when,road,picture,fury,mad,met,framed
88,spirit,scotch,sake,port,coco,essence,soul,brave,stout,ticker,heart,demo,red,cars,cider,up
89,safe,ball,walk,colonel,flounder,carp,salmon,catfish,kiln,furnace,oven,forge,strike,smelt,yolk,out
90,jaguar,lion,capybara,anaconda,hair,foot,bottom,legs,toucan,company,foundation,rent,change,cucumber,grease,base
91,pumpkin,bell,bat,2001,firefly,bones,tombstone,7,weeds,cherry,"20,000",cobweb,bar,22,451,24
92,coffee,chai,tea,cocoa,root,scoop,bark,trunk,meow,cluck,oink,buzz,dish,branch,dirt,skinny
93,leave,get out,scram,us,peon,nepo,pone,santa,them,you,me,go,beanie,fur,open,nope
94,pupil,iris,lens,retina,over,phony,sham,bogus,michelle,roger,stan,lola,copy,fake,alejandro,out
95,goat,buffalo,sheep,cow,rings,excel,glow,shine,radiate,floor,vault,seedy,cutie,envy,horse,beam
96,witch,giant,queen,wolf,pigpen,mate,charlie,woodstock,rock 'n roll,gambit,bishop,new york,peppermint patty,princess,lucy,you
97,grape,apricot,lime,berry,stone,lavish,grand,opulent,naive,unwell,envious,fresh,foster,deluxe,swank,fig
98,quick,outlaw,southwest,frontier,bright,rogers,sharp,cowboy,spirit,sheriff,smart,clever,lasso,mars,alaska,drifter
99,tab,bookmark,window,link,relation,collar,pocket,tie,laundry,cuff,martini,history,bond,dozen,joke,button
